datetime	open	high	low	close	volume
06.04.2020 00:00	0.202	0.202	0.192	0.198	18
07.04.2020 00:00	0.198	0.202	0.196	0.202	37
08.04.2020 00:00	0.192	0.2	0.192	0.2	12
09.04.2020 00:00	0.202	0.202	0.196	0.196	11
10.04.2020 00:00	0.2	0.2	0.196	0.196	3
13.04.2020 00:00	0.196	0.196	0.196	0.196	4
14.04.2020 00:00	0.192	0.194	0.192	0.194	42
15.04.2020 00:00	0.192	0.198	0.188	0.198	20
16.04.2020 00:00	0.192	0.2	0.192	0.198	3
17.04.2020 00:00	0.194	0.208	0.194	0.2	64
20.04.2020 00:00	0.192	0.202	0.154	0.2	93
21.04.2020 00:00	0.196	0.2	0.192	0.196	171
22.04.2020 00:00	0.2	0.2	0.198	0.198	10
23.04.2020 00:00	0.198	0.202	0.192	0.2	8
24.04.2020 00:00	0.196	0.198	0.188	0.196	142
27.04.2020 00:00	0.192	0.2	0.188	0.198	56
28.04.2020 00:00	0.192	0.2	0.192	0.2	72
29.04.2020 00:00	0.2	0.2	0.192	0.198	97
30.04.2020 00:00	0.198	0.198	0.196	0.198	8
04.05.2020 00:00	0.202	0.276	0.202	0.234	1943
05.05.2020 00:00	0.244	0.256	0.202	0.224	331
06.05.2020 00:00	0.224	0.236	0.202	0.204	230
07.05.2020 00:00	0.212	0.218	0.208	0.216	84
08.05.2020 00:00	0.214	0.248	0.21	0.216	280
12.05.2020 00:00	0.218	0.218	0.206	0.216	54
13.05.2020 00:00	0.216	0.22	0.212	0.216	43
14.05.2020 00:00	0.214	0.218	0.214	0.214	33
15.05.2020 00:00	0.218	0.218	0.212	0.216	82
18.05.2020 00:00	0.21	0.218	0.208	0.216	29
19.05.2020 00:00	0.226	0.228	0.218	0.228	30
20.05.2020 00:00	0.226	0.246	0.218	0.234	80
21.05.2020 00:00	0.232	0.24	0.232	0.234	35
22.05.2020 00:00	0.238	0.242	0.232	0.236	65
25.05.2020 00:00	0.248	0.264	0.234	0.234	62
26.05.2020 00:00	0.238	0.266	0.234	0.264	207
27.05.2020 00:00	0.24	0.368	0.24	0.342	1138
28.05.2020 00:00	0.342	0.448	0.308	0.424	3539
29.05.2020 00:00	0.436	0.436	0.362	0.374	733
01.06.2020 00:00	0.366	0.388	0.34	0.378	396
02.06.2020 00:00	0.36	0.368	0.35	0.36	225
03.06.2020 00:00	0.364	0.378	0.338	0.368	248
04.06.2020 00:00	0.346	0.346	0.346	0.346	2
05.06.2020 00:00	0.342	0.342	0.28	0.308	422
08.06.2020 00:00	0.324	0.324	0.298	0.306	114
09.06.2020 00:00	0.296	0.43	0.296	0.424	840
10.06.2020 00:00	0.428	0.516	0.384	0.43	1159
11.06.2020 00:00	0.458	0.494	0.39	0.404	253
15.06.2020 00:00	0.384	0.436	0.374	0.404	193
16.06.2020 00:00	0.416	0.474	0.402	0.438	923
17.06.2020 00:00	0.444	0.55	0.426	0.46	3054
18.06.2020 00:00	0.468	0.478	0.444	0.454	484
19.06.2020 00:00	0.466	0.466	0.418	0.436	168
22.06.2020 00:00	0.418	0.432	0.406	0.408	236
23.06.2020 00:00	0.42	0.428	0.374	0.378	585
25.06.2020 00:00	0.37	0.386	0.366	0.368	212
26.06.2020 00:00	0.362	0.376	0.36	0.37	47
29.06.2020 00:00	0.368	0.37	0.348	0.358	157
30.06.2020 00:00	0.358	0.364	0.342	0.358	49
02.07.2020 00:00	0.356	0.392	0.352	0.354	202
03.07.2020 00:00	0.358	0.364	0.358	0.364	48
06.07.2020 00:00	0.374	0.374	0.36	0.364	37
07.07.2020 00:00	0.368	0.386	0.364	0.368	124
08.07.2020 00:00	0.358	0.37	0.358	0.37	67
09.07.2020 00:00	0.364	0.364	0.36	0.36	39
10.07.2020 00:00	0.36	0.362	0.354	0.358	77
13.07.2020 00:00	0.36	0.366	0.358	0.366	27
14.07.2020 00:00	0.368	0.368	0.35	0.358	37
15.07.2020 00:00	0.35	0.358	0.346	0.348	52
16.07.2020 00:00	0.362	0.362	0.34	0.348	209
17.07.2020 00:00	0.338	0.344	0.338	0.34	26
20.07.2020 00:00	0.334	0.342	0.334	0.342	12
21.07.2020 00:00	0.342	0.348	0.326	0.334	112
22.07.2020 00:00	0.334	0.336	0.33	0.33	24
23.07.2020 00:00	0.332	0.334	0.326	0.328	36
24.07.2020 00:00	0.328	0.328	0.326	0.326	11
27.07.2020 00:00	0.326	0.328	0.322	0.324	25
28.07.2020 00:00	0.326	0.33	0.324	0.326	20
29.07.2020 00:00	0.33	0.33	0.324	0.33	33
30.07.2020 00:00	0.33	0.33	0.324	0.326	53
31.07.2020 00:00	0.328	0.418	0.326	0.35	1216
03.08.2020 00:00	0.354	0.356	0.332	0.344	226
04.08.2020 00:00	0.344	0.39	0.33	0.348	453
05.08.2020 00:00	0.358	0.416	0.342	0.36	843
06.08.2020 00:00	0.362	0.374	0.352	0.366	79
07.08.2020 00:00	0.368	0.386	0.36	0.362	199
10.08.2020 00:00	0.362	0.388	0.348	0.36	584
11.08.2020 00:00	0.362	0.366	0.352	0.354	88
12.08.2020 00:00	0.352	0.352	0.346	0.35	32
13.08.2020 00:00	0.348	0.35	0.342	0.346	76
14.08.2020 00:00	0.348	0.352	0.348	0.35	11
17.08.2020 00:00	0.344	0.358	0.344	0.35	22
18.08.2020 00:00	0.348	0.392	0.348	0.376	421
19.08.2020 00:00	0.378	0.38	0.354	0.37	76
20.08.2020 00:00	0.372	0.372	0.368	0.372	3
21.08.2020 00:00	0.366	0.372	0.354	0.358	41
24.08.2020 00:00	0.356	0.372	0.356	0.368	7
25.08.2020 00:00	0.364	0.37	0.36	0.37	76
26.08.2020 00:00	0.364	0.364	0.348	0.358	111
27.08.2020 00:00	0.358	0.358	0.338	0.344	137
28.08.2020 00:00	0.344	0.346	0.342	0.342	31
31.08.2020 00:00	0.342	0.342	0.338	0.34	11
01.09.2020 00:00	0.336	0.342	0.33	0.338	38
02.09.2020 00:00	0.336	0.34	0.336	0.338	3
03.09.2020 00:00	0.326	0.334	0.326	0.332	22
04.09.2020 00:00	0.322	0.332	0.322	0.332	108
07.09.2020 00:00	0.32	0.328	0.31	0.32	156
08.09.2020 00:00	0.32	0.332	0.314	0.33	306
09.09.2020 00:00	0.31	0.324	0.31	0.314	17
10.09.2020 00:00	0.316	0.32	0.312	0.32	6
11.09.2020 00:00	0.314	0.32	0.314	0.32	6
14.09.2020 00:00	0.326	0.326	0.308	0.308	143
15.09.2020 00:00	0.306	0.31	0.298	0.304	120
16.09.2020 00:00	0.3	0.304	0.298	0.304	9
17.09.2020 00:00	0.302	0.304	0.298	0.298	96
18.09.2020 00:00	0.298	0.298	0.294	0.298	43
21.09.2020 00:00	0.296	0.3	0.296	0.3	8
22.09.2020 00:00	0.298	0.3	0.286	0.298	34
23.09.2020 00:00	0.306	0.306	0.284	0.284	87
24.09.2020 00:00	0.288	0.288	0.28	0.28	31
25.09.2020 00:00	0.28	0.28	0.276	0.278	5
28.09.2020 00:00	0.282	0.282	0.282	0.282	5
29.09.2020 00:00	0.276	0.282	0.276	0.278	24
30.09.2020 00:00	0.28	0.28	0.276	0.276	122
01.10.2020 00:00	0.28	0.324	0.28	0.282	598
02.10.2020 00:00	0.3	0.306	0.28	0.29	256
05.10.2020 00:00	0.292	0.3	0.208	0.286	89
06.10.2020 00:00	0.302	0.302	0.286	0.288	13
07.10.2020 00:00	0.282	0.304	0.28	0.292	51
08.10.2020 00:00	0.286	0.292	0.284	0.29	21
09.10.2020 00:00	0.296	0.312	0.284	0.284	40
12.10.2020 00:00	0.296	0.3	0.284	0.292	15
13.10.2020 00:00	0.286	0.292	0.286	0.288	6
14.10.2020 00:00	0.282	0.288	0.238	0.28	68
